ID mag mu0 alpha RA DEC box
LSBVCC001 17.8 23.0 4.4 187.8825 11.603 1arcmin
LSBVCC002 17.3 23.4 6.6 187.744583333 11.7081111111 1arcmin
LSBVCC003 18.1 24.0 5.8 188.445416667 11.7821111111 1arcmin
LSBVCC004 17.9 23.0 4.3 188.549583333 11.8136111111 1arcmin
LSBVCC005 17.4 23.3 6.0 187.76625 11.8355 1arcmin
LSBVCC006 17.2 23.0 5.6 187.984583333 11.9725 1arcmin
LSBVCC007 20.3 24.8 3.2 188.46875 12.1176944444 1arcmin
LSBVCC008 18.4 23.7 4.5 187.572916667 12.2408888889 1arcmin
LSBVCC009 18.5 23.6 4.1 188.420833333 12.3826111111 1arcmin
LSBVCC010 17.6 23.2 5.2 188.031666667 12.4348888889 1arcmin
LSBVCC011 17.7 23.3 5.2 188.42 12.5711111111 1arcmin
LSBVCC012 18.5 23.4 3.8 187.933333333 12.6123888889 1arcmin
LSBVCC013 18.0 24.7 8.6 188.144583333 12.6391944444 1arcmin
LSBVCC014 19.0 24.0 3.9 188.50625 12.7201944444 1arcmin
LSBVCC015 20.5 25.0 3.2 188.230833333 12.7595 1arcmin
LSBVCC016 19.1 23.7 3.3 188.462916667 12.9585 1arcmin
LSBVCC017 19.0 24.1 4.3 187.901666667 13.0886944444 1arcmin
LSBVCC018 17.9 23.0 4.2 187.79375 13.0976111111 1arcmin
LSBVCC019 18.0 22.6 3.4 187.802916667 13.1243055556 1arcmin
LSBVCC020 18.4 24.1 5.6 188.276666667 13.303 1arcmin
LSBVCC021 18.0 23.7 5.6 187.601666667 13.3326111111 1arcmin
LSBVCC022 17.8 23.2 4.9 187.732083333 13.348 1arcmin
LSBVCC023 20.2 24.7 3.2 187.852083333 13.3488888889 1arcmin
LSBVCC024 18.9 24.8 5.9 188.355416667 13.4163888889 1arcmin
LSBVCC025 19.1 24.7 5.2 187.70625 13.5051111111 1arcmin
LSBVCC026 20.0 24.5 3.2 188.209583333 13.4976111111 1arcmin
LSBVCC027 19.6 24.3 3.5 187.792083333 13.5118888889 1arcmin
LSBVCC028 18.3 23.1 3.7 188.270833333 13.5431111111 1arcmin
LSBVCC029 18.1 23.2 4.1 187.74 13.6198055556 1arcmin
LSBVCC030 20.6 25.0 3.0 188.330833333 13.6201944444 1arcmin
LSBVCC031 19.3 24.3 3.9 187.915416667 13.6481944444 1arcmin
LSBVCC032 17.9 24.4 7.9 187.89875 13.8241944444 1arcmin
LSBVCC033 18.2 22.7 3.1 188.1325 13.8508055556 1arcmin
LSBVCC034 19.7 24.2 3.2 187.6775 13.881 1arcmin
LSBVCC035 17.4 23.0 5.1 188.32375 13.935 1arcmin
LSBVCC036 17.7 23.4 5.3 187.900833333 14.0716111111 1arcmin
LSBVCC037 20.0 24.4 3.0 188.06625 14.1883055556 1arcmin
LSBVCC038 17.8 22.6 3.6 188.2875 10.8361944444 1arcmin
LSBVCC039 19.7 24.1 3.0 187.72375 10.9116944444 1arcmin
LSBVCC040 18.0 23.5 5.0 188.187083333 10.9491111111 1arcmin
LSBVCC041 17.4 22.7 4.8 187.90375 11.0076111111 1arcmin
LSBVCC042 18.0 23.0 4.1 188.000833333 11.0233888889 1arcmin
LSBVCC043 19.4 24.3 3.8 187.93625 11.2328888889 1arcmin
LSBVCC044 19.0 23.8 3.6 188.3125 11.2308055556 1arcmin
LSBVCC045 18.9 23.8 3.7 188.213333333 11.2956944444 1arcmin
LSBVCC046 19.2 24.5 4.6 188.0 11.3016111111 1arcmin
LSBVCC047 18.4 23.7 4.5 187.607916667 11.4371111111 1arcmin
LSBVCC048 19.2 24.5 4.7 188.083333333 9.77230555556 1arcmin
LSBVCC049 18.1 22.9 3.6 188.27125 9.98630555556 1arcmin
LSBVCC050 18.6 23.8 4.4 187.877916667 10.0055 1arcmin
LSBVCC051 18.8 24.2 4.8 187.700416667 10.1396111111 1arcmin
LSBVCC052 19.7 24.6 3.9 188.471666667 10.4141944444 1arcmin
LSBVCC053 18.5 24.5 6.4 188.894583333 11.6203888889 1arcmin
LSBVCC054 16.9 23.1 7.2 188.62625 11.7345 1arcmin
LSBVCC055 17.9 23.1 4.3 188.527083333 11.8371944444 1arcmin
LSBVCC056 17.6 23.9 7.2 189.112916667 11.889 1arcmin
LSBVCC057 17.6 23.8 6.9 188.7775 11.9006944444 1arcmin
LSBVCC058 19.6 24.8 4.2 188.92375 12.2076944444 1arcmin
LSBVCC059 19.7 24.3 3.3 188.92 12.2353055556 1arcmin
LSBVCC060 20.9 25.5 3.4 188.653333333 12.4311111111 1arcmin
LSBVCC061 18.9 24.1 4.4 189.135833333 12.5178055556 1arcmin
LSBVCC062 18.5 23.2 3.5 188.861666667 12.5281944444 1arcmin
LSBVCC063 18.7 24.6 6.0 188.93375 12.6095 1arcmin
LSBVCC064 20.2 24.6 3.0 189.370833333 12.8751111111 1arcmin
LSBVCC065 19.1 23.5 3.1 189.406666667 12.9098888889 1arcmin
LSBVCC066 18.9 23.7 3.6 189.21875 13.2838888889 1arcmin
LSBVCC067 19.4 24.2 3.8 189.105416667 13.4911111111 1arcmin
LSBVCC068 19.4 24.8 4.9 189.365416667 13.7923055556 1arcmin
LSBVCC069 20.1 25.4 4.7 188.93125 14.079 1arcmin
LSBVCC070 17.1 23.2 6.5 188.676666667 14.223 1arcmin
LSBVCC071 19.1 23.6 3.1 188.694583333 14.2923055556 1arcmin
