ID mag mu0 alpha RA DEC box
LSBVCC072 19.8 24.7 3.8 189.381666667 11.037 1arcmin
LSBVCC073 19.3 24.1 3.6 188.525 11.0543888889 1arcmin
LSBVCC074 17.3 23.9 8.4 189.155833333 11.1533888889 1arcmin
LSBVCC075 18.6 23.9 4.7 189.479166667 11.1488888889 1arcmin
LSBVCC076 18.8 24.8 6.4 188.564583333 11.4675 1arcmin
LSBVCC077 19.2 24.4 4.3 189.263333333 11.4785 1arcmin
LSBVCC078 18.6 23.3 3.5 188.737916667 10.56825 1arcmin
LSBVCC079 19.5 24.8 4.6 189.67 11.9785 1arcmin
LSBVCC080 20.0 24.4 3.1 190.308333333 12.2491111111 1arcmin
LSBVCC081 18.2 22.8 3.3 190.367083333 12.428 1arcmin
LSBVCC082 18.7 23.9 4.3 189.550416667 10.7018888889 1arcmin
LSBVCC083 19.9 24.8 3.8 190.231666667 10.703 1arcmin
LSBVCC084 18.1 23.0 3.9 190.07625 10.9966944444 1arcmin
LSBVCC085 18.7 24.2 5.1 189.57125 11.1806944444 1arcmin
LSBVCC086 18.5 25.2 8.5 189.882083333 11.4543055556 1arcmin
LSBVCC087 18.6 23.3 3.5 190.02 11.5711111111 1arcmin
LSBVCC088 19.5 24.2 3.5 186.888333333 11.5316944444 1arcmin
LSBVCC089 17.3 24.1 8.9 187.412916667 11.6328888889 1arcmin
LSBVCC090 20.1 25.0 3.7 187.247916667 11.9236111111 1arcmin
LSBVCC091 19.9 24.7 3.7 186.930833333 11.9678888889 1arcmin
LSBVCC092 18.2 23.9 5.4 187.422083333 12.0458888889 1arcmin
LSBVCC093 20.1 24.6 3.1 187.24625 12.0416944444 1arcmin
LSBVCC094 18.2 23.6 4.7 187.205 12.1323055556 1arcmin
LSBVCC095 19.4 24.4 4.1 187.271666667 12.1541944444 1arcmin
LSBVCC096 19.6 24.7 4.0 186.83125 12.2205 1arcmin
LSBVCC097 18.7 23.6 3.8 186.87375 12.2518888889 1arcmin
LSBVCC098 18.9 24.2 4.5 187.110833333 12.345 1arcmin
LSBVCC099 19.5 24.0 3.2 186.819583333 10.6988055556 1arcmin
LSBVCC100 20.6 25.1 3.1 186.735416667 10.7981111111 1arcmin
LSBVCC101 17.8 23.6 6.0 187.4975 10.8563055556 1arcmin
LSBVCC102 18.9 24.3 4.8 187.207083333 10.9208055556 1arcmin
LSBVCC103 19.8 24.8 4.1 187.337916667 10.9941944444 1arcmin
LSBVCC104 19.5 24.1 3.2 187.30375 10.9906944444 1arcmin
LSBVCC105 17.1 22.6 5.0 186.934583333 11.2146944444 1arcmin
LSBVCC106 17.9 23.9 6.4 186.641666667 11.285 1arcmin
LSBVCC107 19.4 24.9 4.8 187.487916667 11.401 1arcmin
LSBVCC108 18.0 22.7 3.5 187.0975 11.5796111111 1arcmin
LSBVCC109 18.3 23.6 4.4 190.0075 13.6546111111 1arcmin
LSBVCC110 20.3 24.7 3.1 190.064166667 13.8788888889 1arcmin
LSBVCC111 17.6 22.5 3.8 189.502083333 14.1776111111 1arcmin
LSBVCC112 18.6 23.0 3.1 189.685416667 14.6631944444 1arcmin
LSBVCC113 17.6 23.9 7.1 190.294166667 15.0486111111 1arcmin
LSBVCC114 20.6 25.0 3.1 190.244583333 15.1685 1arcmin
LSBVCC115 17.5 24.2 8.8 190.307916667 15.3696111111 1arcmin
LSBVCC116 18.2 23.8 5.2 190.424166667 16.2228888889 1arcmin
LSBVCC117 17.3 22.6 4.5 190.6575 13.6063055556 1arcmin
LSBVCC118 19.5 23.9 3.0 190.735416667 13.7653888889 1arcmin
LSBVCC119 17.1 22.9 5.6 190.650833333 16.3065 1arcmin
LSBVCC120 17.9 23.6 5.4 190.804166667 16.3433888889 1arcmin
LSBVCC121 18.1 23.6 5.2 190.454583333 8.30080555556 1arcmin
LSBVCC122 20.0 25.4 4.9 191.801666667 10.5891111111 1arcmin
LSBVCC123 17.9 22.7 3.6 191.953333333 10.6478055556 1arcmin
LSBVCC124 19.4 23.9 3.2 191.475416667 10.6586944444 1arcmin
LSBVCC125 18.1 24.2 6.5 191.650833333 10.7846111111 1arcmin
LSBVCC126 18.7 24.0 4.6 191.575416667 11.1853888889 1arcmin
LSBVCC127 20.0 24.8 3.8 192.268333333 11.1775 1arcmin
LSBVCC128 19.4 24.4 3.9 192.000833333 11.3726944444 1arcmin
LSBVCC129 20.2 24.8 3.0 189.509166667 14.4148888889 1arcmin
LSBVCC130 17.7 23.5 6.0 189.466666667 14.4671944444 1arcmin
LSBVCC131 19.2 23.6 3.0 188.5775 14.4728055556 1arcmin
LSBVCC132 18.9 24.1 4.0 188.727916667 14.6505 1arcmin
LSBVCC133 18.8 24.2 4.0 189.362916667 15.1493055556 1arcmin
LSBVCC134 19.3 24.5 4.0 188.92375 15.1416944444 1arcmin
LSBVCC135 19.5 23.9 3.0 188.607083333 15.4451944444 1arcmin
LSBVCC136 18.8 23.1 3.0 189.176666667 15.4745 1arcmin
LSBVCC137 17.4 23.4 6.0 189.459166667 15.7275 1arcmin
LSBVCC138 17.7 23.0 4.0 188.688333333 16.0241111111 1arcmin
LSBVCC139 17.2 23.2 6.0 189.534166667 16.0716944444 1arcmin
LSBVCC140 18.0 22.6 3.0 189.444166667 16.1755 1arcmin
LSBVCC141 19.7 24.2 3.0 188.764583333 16.5331111111 1arcmin
LSBVCC142 17.9 23.6 5.0 188.540833333 16.7118888889 1arcmin
LSBVCC143 18.4 23.6 4.0 188.850833333 6.50119444444 1arcmin
LSBVCC144 17.8 24.6 9.0 190.41375 9.20869444444 1arcmin
LSBVCC145 19.4 24.3 3.0 189.928333333 9.30961111111 1arcmin
LSBVCC146 20.5 25.5 4.0 189.899583333 7.16338888889 1arcmin
LSBVCC147 20.8 25.5 3.0 190.117083333 7.16561111111 1arcmin
LSBVCC148 19.0 24.1 4.0 189.952083333 7.31430555556 1arcmin
LSBVCC149 18.2 23.3 4.0 189.490416667 6.54219444444 1arcmin
LSBVCC150 18.0 22.6 3.0 189.677916667 6.66869444444 1arcmin
LSBVCC151 19.5 24.1 3.3 186.815416667 13.4498888889 1arcmin
LSBVCC152 18.5 22.9 3.0 186.698333333 13.6803888889 1arcmin
LSBVCC153 18.5 22.9 3.0 187.549166667 13.6911111111 1arcmin
LSBVCC154 18.6 23.3 3.5 187.475833333 13.9563888889 1arcmin
LSBVCC155 18.2 23.0 3.7 187.572916667 14.1285 1arcmin
LSBVCC156 16.7 22.7 6.4 187.113333333 14.1556111111 1arcmin
LSBVCC157 19.8 24.5 3.4 187.07875 14.1376944444 1arcmin
LSBVCC158 17.6 23.4 5.8 187.206666667 14.1578055556 1arcmin
LSBVCC159 18.6 23.9 4.7 187.3725 14.1696944444 1arcmin
LSBVCC160 20.3 24.8 3.1 187.13625 14.1911944444 1arcmin
LSBVCC161 20.0 24.7 3.6 187.290833333 14.2278055556 1arcmin
LSBVCC162 18.8 23.2 3.1 187.219583333 14.3941944444 1arcmin
LSBVCC163 18.3 24.4 6.5 186.989166667 14.4706944444 1arcmin
LSBVCC164 18.7 23.7 4.0 187.49 14.4725 1arcmin
LSBVCC165 19.5 24.0 3.0 187.18625 14.4938888889 1arcmin
LSBVCC166 19.8 24.8 3.9 186.775416667 14.921 1arcmin
LSBVCC167 18.0 22.6 3.3 185.910416667 12.6278055556 1arcmin
LSBVCC168 19.2 24.2 4.0 186.348333333 12.6753055556 1arcmin
LSBVCC169 18.6 23.3 3.5 186.360833333 12.6768888889 1arcmin
LSBVCC170 18.0 23.9 5.9 185.970833333 12.7726111111 1arcmin
LSBVCC171 18.6 23.1 3.2 186.454583333 12.8043888889 1arcmin
LSBVCC172 18.5 23.1 3.3 186.077916667 12.9126111111 1arcmin
LSBVCC173 18.9 24.6 5.6 186.37625 12.977 1arcmin
LSBVCC174 20.0 24.8 3.7 186.5175 12.9878888889 1arcmin
LSBVCC175 17.4 23.1 5.5 186.305 13.0253888889 1arcmin
LSBVCC176 19.8 24.6 3.7 186.454583333 13.2831944444 1arcmin
LSBVCC177 17.8 22.7 3.7 186.189583333 13.3403055556 1arcmin
LSBVCC178 18.4 23.6 4.3 186.046666667 13.3735 1arcmin
LSBVCC179 20.3 24.7 3.1 185.69875 13.3533055556 1arcmin
LSBVCC180 19.4 23.8 3.1 186.142916667 13.3735 1arcmin
LSBVCC181 18.8 23.8 4.0 185.798333333 13.4188055556 1arcmin
LSBVCC182 18.3 23.2 3.8 186.090833333 13.4185 1arcmin
LSBVCC183 18.3 23.2 3.7 186.45 13.8545 1arcmin
LSBVCC184 16.9 22.5 5.4 186.382083333 14.1521111111 1arcmin
LSBVCC185 19.3 24.7 4.8 186.42125 14.192 1arcmin
LSBVCC186 18.8 23.5 3.4 186.052916667 14.4936111111 1arcmin
LSBVCC187 19.2 23.8 3.3 186.479583333 14.6413888889 1arcmin
LSBVCC188 18.2 22.8 3.4 186.22125 14.6551111111 1arcmin
LSBVCC189 19.3 23.8 3.1 186.251666667 15.0936944444 1arcmin
LSBVCC190 18.8 24.0 4.2 186.14625 15.1641944444 1arcmin
LSBVCC191 19.6 24.2 3.4 186.212916667 15.3946944444 1arcmin
LSBVCC192 17.1 23.1 6.2 185.60125 15.4711111111 1arcmin
LSBVCC193 18.8 23.7 3.7 185.73125 15.5595 1arcmin
LSBVCC194 19.7 25.5 5.5 186.411666667 15.8145 1arcmin
LSBVCC195 18.3 23.7 4.9 185.55375 12.6965 1arcmin
LSBVCC196 19.0 23.4 3.0 185.372083333 12.7981944444 1arcmin
LSBVCC197 16.7 22.5 5.9 184.802083333 12.8518055556 1arcmin
LSBVCC198 18.3 23.5 4.4 185.151666667 12.885 1arcmin
LSBVCC199 18.5 23.2 3.5 185.6175 12.8988888889 1arcmin
LSBVCC200 20.2 25.2 3.9 184.677083333 12.9451111111 1arcmin
LSBVCC201 19.3 23.9 3.3 185.616666667 13.1628888889 1arcmin
LSBVCC202 16.5 22.5 6.4 185.312916667 13.3461944444 1arcmin
LSBVCC203 20.3 24.8 3.2 184.390833333 13.3871111111 1arcmin
LSBVCC204 19.0 23.8 3.6 184.035416667 13.4626111111 1arcmin
LSBVCC205 18.1 24.0 6.2 188.124583333 14.6626944444 1arcmin
LSBVCC206 18.6 23.5 3.9 188.01625 15.0548888889 1arcmin
LSBVCC207 18.4 24.3 6.1 188.373333333 15.2328888889 1arcmin
LSBVCC208 19.5 23.9 3.0 191.0275 12.6841111111 1arcmin
LSBVCC209 19.5 24.6 4.2 187.529166667 6.342 1arcmin
LSBVCC210 18.9 24.5 5.3 186.415 16.2828888889 1arcmin
LSBVCC211 17.6 23.5 6.2 186.399166667 16.5958888889 1arcmin
LSBVCC212 20.2 24.9 3.5 185.857916667 16.7376111111 1arcmin
LSBVCC213 16.4 22.7 7.2 185.600416667 17.02 1arcmin
LSBVCC214 18.5 23.1 3.4 186.063333333 17.128 1arcmin
LSBVCC215 18.8 23.2 3.0 185.985 6.03130555556 1arcmin
LSBVCC216 19.0 24.4 4.7 186.55125 6.08630555556 1arcmin
LSBVCC217 18.2 23.0 3.6 186.29625 6.31380555556 1arcmin
LSBVCC218 20.1 24.5 3.0 186.1075 4.94211111111 1arcmin
LSBVCC219 20.2 25.1 3.7 185.7875 5.20719444444 1arcmin
LSBVCC220 17.8 23.0 4.4 186.404166667 5.34088888889 1arcmin
LSBVCC221 18.5 23.4 3.8 185.685833333 5.41569444444 1arcmin
LSBVCC222 19.2 23.6 3.1 186.562083333 5.4375 1arcmin
LSBVCC223 18.2 24.0 5.6 185.876666667 5.49561111111 1arcmin
LSBVCC224 21.1 25.6 3.1 185.820416667 5.82980555556 1arcmin
LSBVCC225 20.3 24.9 3.3 185.612916667 10.1661944444 1arcmin
LSBVCC226 17.9 23.9 6.4 185.072916667 10.3203888889 1arcmin
LSBVCC227 19.8 24.6 3.5 184.964166667 10.3071111111 1arcmin
LSBVCC228 17.8 22.9 4.1 185.370833333 10.4858888889 1arcmin
LSBVCC229 18.4 22.9 3.2 184.701666667 8.98838888889 1arcmin
LSBVCC230 19.6 23.9 3.0 185.187083333 9.37338888889 1arcmin
LSBVCC231 18.0 23.6 5.3 185.149166667 8.20161111111 1arcmin
LSBVCC232 18.6 23.5 3.7 185.4825 8.34588888889 1arcmin
LSBVCC233 17.2 22.8 5.2 185.46 8.54180555556 1arcmin
LSBVCC234 18.6 24.1 5.1 184.740416667 8.64438888889 1arcmin
LSBVCC235 18.3 23.4 4.2 185.615 7.09780555556 1arcmin
LSBVCC236 19.5 24.2 3.4 190.004166667 9.81488888889 1arcmin
LSBVCC237 19.4 24.6 4.4 190.0075 9.95688888889 1arcmin
LSBVCC238 18.4 24.0 5.2 190.112916667 10.1283888889 1arcmin
LSBVCC239 19.3 24.6 4.4 190.937083333 10.1628888889 1arcmin
LSBVCC240 17.6 23.5 6.0 191.290416667 10.6281944444 1arcmin
LSBVCC241 20.0 25.0 4.0 190.569583333 8.82169444444 1arcmin
LSBVCC242 20.1 25.0 3.7 191.16125 9.39338888889 1arcmin
LSBVCC243 19.1 24.2 4.2 184.352916667 13.5108055556 1arcmin
LSBVCC244 20.1 24.5 3.0 183.985416667 13.6563055556 1arcmin
LSBVCC245 16.8 23.0 6.8 184.360833333 13.7371111111 1arcmin
LSBVCC246 18.3 22.8 3.1 183.711666667 13.9833888889 1arcmin
LSBVCC247 19.9 24.6 3.5 184.683333333 10.5483888889 1arcmin
LSBVCC248 18.1 22.6 3.2 184.281666667 8.74111111111 1arcmin
LSBVCC249 17.5 23.5 6.5 183.985 9.6505 1arcmin
LSBVCC250 19.0 23.7 3.4 183.887083333 9.66111111111 1arcmin
LSBVCC251 16.8 23.2 7.8 192.182083333 11.9691944444 1arcmin
LSBVCC252 18.7 23.5 3.5 192.105 12.2368055556 1arcmin
LSBVCC253 19.7 24.4 3.5 191.947916667 12.695 1arcmin
LSBVCC254 19.5 24.5 4.1 191.630833333 13.3256111111 1arcmin
LSBVCC255 19.9 24.7 3.6 192.0275 14.2311111111 1arcmin
LSBVCC256 18.9 24.1 4.4 192.356666667 14.9143888889 1arcmin
LSBVCC257 18.9 24.3 4.8 192.31375 15.4923055556 1arcmin
LSBVCC258 18.0 23.2 4.5 192.134166667 15.7395 1arcmin
LSBVCC259 19.9 24.5 3.4 191.654166667 15.757 1arcmin
LSBVCC260 18.7 23.4 3.4 191.555 10.2473888889 1arcmin
LSBVCC261 19.2 24.4 4.5 191.621666667 10.2813888889 1arcmin
LSBVCC262 17.8 23.3 5.0 191.940833333 9.23019444444 1arcmin
LSBVCC263 18.9 24.2 4.4 191.786666667 9.31369444444 1arcmin
LSBVCC264 18.5 24.2 5.5 191.862916667 9.42911111111 1arcmin
LSBVCC265 19.1 24.1 3.9 193.22875 11.5056944444 1arcmin
LSBVCC266 19.5 24.0 3.3 192.689166667 11.9123888889 1arcmin
LSBVCC267 18.3 23.8 5.0 193.016666667 12.9073055556 1arcmin
LSBVCC268 19.1 23.9 3.8 192.726666667 10.7698888889 1arcmin
LSBVCC269 19.9 24.5 3.3 192.688333333 10.7966111111 1arcmin
LSBVCC270 18.2 23.5 4.4 193.024583333 11.0323888889 1arcmin
LSBVCC271 19.0 23.8 3.6 193.165 11.1111944444 1arcmin
LSBVCC272 17.5 23.3 5.9 192.795833333 11.2426111111 1arcmin
LSBVCC273 19.4 25.0 5.3 192.754583333 11.4846111111 1arcmin
LSBVCC274 18.7 23.7 4.1 186.619166667 8.79511111111 1arcmin
LSBVCC275 19.1 23.4 3.0 187.365416667 8.94011111111 1arcmin
LSBVCC276 18.5 23.7 4.4 186.643333333 8.99280555556 1arcmin
LSBVCC277 20.1 24.8 3.5 187.512083333 9.23969444444 1arcmin
LSBVCC278 16.5 22.8 7.3 187.28375 9.44361111111 1arcmin
LSBVCC279 17.9 22.5 3.3 187.415416667 9.46361111111 1arcmin
LSBVCC280 18.3 22.9 3.3 187.508333333 9.474 1arcmin
LSBVCC281 17.0 22.7 5.4 187.40875 9.52088888889 1arcmin
LSBVCC282 18.6 24.1 4.9 186.48125 10.7211111111 1arcmin
LSBVCC283 19.4 24.5 4.1 186.035 11.1461944444 1arcmin
LSBVCC284 18.0 23.4 4.6 185.882916667 11.2708055556 1arcmin
LSBVCC285 17.5 22.5 4.0 186.052083333 11.5293888889 1arcmin
LSBVCC286 20.7 25.1 3.0 186.235416667 9.92680555556 1arcmin
LSBVCC287 20.0 24.5 3.1 185.870833333 10.0226111111 1arcmin
LSBVCC288 20.5 25.0 3.1 185.822916667 10.0568055556 1arcmin
LSBVCC289 17.6 23.6 6.5 186.447083333 10.0926944444 1arcmin
LSBVCC290 20.1 24.7 3.4 185.852083333 10.1568888889 1arcmin
LSBVCC291 18.3 22.6 3.0 186.032083333 10.4141111111 1arcmin
LSBVCC292 21.0 25.5 3.2 186.36375 10.4196944444 1arcmin
LSBVCC293 18.9 23.4 3.1 186.292083333 10.4566944444 1arcmin
LSBVCC294 20.2 24.7 3.1 186.12875 10.5258055556 1arcmin
LSBVCC295 17.5 23.3 5.6 186.603333333 10.5816944444 1arcmin
LSBVCC296 20.3 24.7 3.0 185.777083333 10.5901111111 1arcmin
LSBVCC297 17.9 23.5 5.1 186.44625 11.6623055556 1arcmin
LSBVCC298 19.2 24.4 4.4 186.482083333 11.801 1arcmin
LSBVCC299 18.5 23.8 4.6 186.12875 11.8116944444 1arcmin
LSBVCC300 17.2 22.6 4.7 186.23375 11.8323055556 1arcmin
LSBVCC301 19.4 24.1 3.5 186.199583333 11.8185 1arcmin
LSBVCC302 18.0 23.3 4.5 185.990833333 11.8921944444 1arcmin
LSBVCC303 18.6 23.0 3.1 185.912083333 12.1838888889 1arcmin
LSBVCC304 19.5 24.3 3.6 185.724166667 12.3888888889 1arcmin
LSBVCC305 17.8 22.9 4.3 188.005833333 8.66969444444 1arcmin
LSBVCC306 18.8 23.6 3.8 187.691666667 9.01261111111 1arcmin
LSBVCC307 21.3 25.7 3.0 188.4625 9.07930555556 1arcmin
LSBVCC308 19.2 23.9 3.6 187.817083333 9.35919444444 1arcmin
LSBVCC309 20.4 24.7 3.0 187.5675 9.46211111111 1arcmin
LSBVCC310 18.8 23.4 3.3 187.852916667 9.4745 1arcmin
LSBVCC311 17.3 23.8 7.7 191.290416667 10.6303055556 1arcmin
LSBVCC312 18.1 22.6 3.2 190.8975 10.7556944444 1arcmin
LSBVCC313 18.9 23.8 3.9 191.354583333 10.9238888889 1arcmin
LSBVCC314 19.2 24.1 3.7 191.2275 10.9616111111 1arcmin
LSBVCC315 18.1 24.2 6.7 190.511666667 10.9536944444 1arcmin
LSBVCC316 19.0 24.0 3.9 191.225833333 11.0188888889 1arcmin
LSBVCC317 19.4 24.9 4.9 191.07 11.259 1arcmin
LSBVCC318 20.1 24.9 3.6 191.13125 11.3983888889 1arcmin
LSBVCC319 19.9 24.6 3.6 190.952916667 11.4253055556 1arcmin
LSBVCC320 18.6 24.2 5.3 190.825 11.4743055556 1arcmin
LSBVCC321 18.4 23.1 3.5 191.3975 11.5521111111 1arcmin
LSBVCC322 19.4 24.3 3.8 190.78375 11.6213055556 1arcmin
LSBVCC323 16.8 22.9 6.7 190.759166667 11.6978055556 1arcmin
LSBVCC324 19.6 24.6 4.1 190.595416667 11.6853055556 1arcmin
LSBVCC325 17.7 23.2 4.9 191.140416667 11.7953055556 1arcmin
LSBVCC326 19.0 24.5 4.9 191.187083333 11.8011111111 1arcmin
LSBVCC327 18.1 23.8 5.6 190.990833333 11.8806944444 1arcmin
LSBVCC328 18.4 23.0 3.4 191.220833333 12.183 1arcmin
LSBVCC329 18.0 22.6 3.3 191.437916667 12.2356111111 1arcmin
LSBVCC330 17.0 22.9 5.9 191.266666667 12.3515 1arcmin
LSBVCC331 18.0 23.6 5.2 190.513333333 12.4805 1arcmin
LSBVCC332 17.2 23.0 5.8 187.5975 15.6996111111 1arcmin
LSBVCC333 18.4 24.3 6.2 188.396666667 16.2991944444 1arcmin
LSBVCC334 18.2 22.6 3.0 188.375833333 16.2948055556 1arcmin
LSBVCC335 18.6 23.2 3.2 187.899583333 16.7248888889 1arcmin
LSBVCC336 18.1 23.7 5.2 187.993333333 17.0233055556 1arcmin
LSBVCC337 19.8 24.8 3.9 187.63 6.38869444444 1arcmin
LSBVCC338 18.5 24.0 5.0 187.807083333 6.67130555556 1arcmin
LSBVCC339 18.4 23.5 4.1 187.974583333 5.17311111111 1arcmin
LSBVCC340 19.1 24.9 5.9 187.96 5.48280555556 1arcmin
LSBVCC341 18.1 23.2 4.2 187.7525 5.55530555556 1arcmin
LSBVCC342 18.9 24.5 5.1 188.4475 5.55830555556 1arcmin
LSBVCC343 18.1 22.9 3.7 188.482083333 5.71911111111 1arcmin
LSBVCC344 20.0 24.5 3.3 188.503333333 5.84111111111 1arcmin
LSBVCC345 17.6 23.4 5.6 183.39875 13.0346111111 1arcmin
LSBVCC346 20.9 25.4 3.1 183.121666667 13.059 1arcmin
LSBVCC347 20.0 25.1 4.2 183.122916667 13.1666111111 1arcmin
LSBVCC348 19.4 23.7 3.0 183.540833333 13.2335 1arcmin
LSBVCC349 18.3 23.4 4.1 183.111666667 13.2795 1arcmin
LSBVCC350 20.7 25.3 3.4 182.839166667 13.285 1arcmin
LSBVCC351 18.5 23.0 3.2 182.867916667 13.5835 1arcmin
LSBVCC352 17.8 22.8 3.9 182.97375 14.7761944444 1arcmin
LSBVCC353 20.4 25.5 4.3 183.504583333 14.8031111111 1arcmin
LSBVCC354 17.8 22.9 4.2 183.5925 14.9786944444 1arcmin
LSBVCC355 17.7 23.7 6.2 182.0225 12.764 1arcmin
LSBVCC356 18.5 23.3 3.6 182.604166667 13.3663055556 1arcmin
LSBVCC357 20.3 24.7 3.0 185.3475 13.5833888889 1arcmin
LSBVCC358 20.3 25.2 3.7 185.594166667 14.4303055556 1arcmin
LSBVCC359 18.2 23.3 4.1 184.94875 14.7065 1arcmin
LSBVCC360 17.3 22.9 5.2 185.112083333 14.7853888889 1arcmin
LSBVCC361 18.8 23.5 3.4 185.587083333 15.16 1arcmin
LSBVCC362 19.1 25.0 6.0 185.54 15.6528888889 1arcmin
LSBVCC363 17.9 23.4 5.0 184.96 15.6723055556 1arcmin
LSBVCC364 19.3 23.7 3.1 185.103333333 16.0726111111 1arcmin
LSBVCC365 18.8 23.2 3.0 184.960833333 16.2686944444 1arcmin
